booking_id,listing_id,user_id,booking_time,status
2906,69824,1362,2025-12-31 03:02:00,pending
3356,4494878,3588,2025-12-31 03:02:00,cancelled
2557,4494878,3270,2025-12-31 03:02:00,confirmed
3423,1309185,3507,2025-12-31 03:02:00,confirmed
2594,69824,3194,2025-12-31 03:02:00,cancelled
4082,2028061,3577,2025-12-31 03:02:00,cancelled
1650,1309185,4089,2025-12-31 03:02:00,cancelled
1622,1309185,3805,2025-12-31 03:02:00,confirmed
4799,4494878,2643,2025-12-31 03:02:00,cancelled
4679,24279533,2271,2025-12-31 03:02:00,confirmed
1365,24279533,4959,2025-12-31 03:02:00,cancelled
3622,1559232,2837,2025-12-31 03:02:00,confirmed
1906,69824,2430,2025-12-31 03:02:00,cancelled
2488,24279533,2510,2025-12-31 03:02:00,pending
2663,1559232,2080,2025-12-31 03:02:00,cancelled
1943,191160,2312,2025-12-31 03:02:00,confirmed
1756,2028061,3669,2025-12-31 03:02:00,pending
3514,24279533,3930,2025-12-31 03:02:00,pending
4836,52537443,4905,2025-12-31 03:02:00,confirmed
3781,4494878,4440,2025-12-31 03:02:00,confirmed
4902,1559232,3276,2025-12-31 03:02:00,confirmed
4690,24279533,1964,2025-12-31 03:02:00,confirmed
4717,52537443,4421,2025-12-31 03:02:00,cancelled
3764,2028061,1023,2025-12-31 03:02:00,pending
2678,1559232,1365,2025-12-31 03:02:00,pending
2002,191160,3504,2025-12-31 03:02:00,cancelled
2914,1309185,4617,2025-12-31 03:02:00,cancelled
3715,24279533,3064,2025-12-31 03:02:00,confirmed
1009,52537443,4184,2025-12-31 03:02:00,cancelled
4764,1559232,3437,2025-12-31 03:02:00,cancelled
3400,1309185,3898,2025-12-31 03:02:00,confirmed
