booking_id,listing_id,user_id,booking_time,status
3440,2028061,3912,2025-12-31 02:48:00,confirmed
3106,191160,3603,2025-12-31 02:48:00,confirmed
2186,191160,4754,2025-12-31 02:48:00,cancelled
4949,1309185,2658,2025-12-31 02:48:00,cancelled
4682,69824,2857,2025-12-31 02:48:00,confirmed
1749,1309185,4547,2025-12-31 02:48:00,confirmed
3472,1559232,1446,2025-12-31 02:48:00,pending
2641,52537443,1477,2025-12-31 02:48:00,pending
4173,1309185,2351,2025-12-31 02:48:00,cancelled
3303,1309185,1948,2025-12-31 02:48:00,confirmed
2726,1309185,4320,2025-12-31 02:48:00,pending
4155,1559232,4533,2025-12-31 02:48:00,cancelled
2821,52537443,3575,2025-12-31 02:48:00,cancelled
4393,24279533,2971,2025-12-31 02:48:00,confirmed
2394,24279533,3112,2025-12-31 02:48:00,confirmed
3961,1559232,2977,2025-12-31 02:48:00,cancelled
4585,52537443,1541,2025-12-31 02:48:00,pending
3410,52537443,1206,2025-12-31 02:48:00,cancelled
1002,52537443,1445,2025-12-31 02:48:00,pending
3010,69824,2550,2025-12-31 02:48:00,cancelled
1479,69824,1461,2025-12-31 02:48:00,pending
4111,2028061,4386,2025-12-31 02:48:00,confirmed
3524,191160,1227,2025-12-31 02:48:00,confirmed
3624,1309185,4619,2025-12-31 02:48:00,cancelled
4634,4494878,2702,2025-12-31 02:48:00,pending
1790,1309185,3679,2025-12-31 02:48:00,pending
4031,1309185,1124,2025-12-31 02:48:00,cancelled
1576,1309185,2187,2025-12-31 02:48:00,pending
3024,2028061,4964,2025-12-31 02:48:00,cancelled
3573,4494878,4830,2025-12-31 02:48:00,pending
3991,1559232,3958,2025-12-31 02:48:00,cancelled
2109,4494878,2809,2025-12-31 02:48:00,pending
4021,24279533,3230,2025-12-31 02:48:00,cancelled
