booking_id,listing_id,user_id,booking_time,status
4203,24279533,3278,2025-12-31 02:54:00,pending
1953,2028061,2617,2025-12-31 02:54:00,pending
1704,1559232,2960,2025-12-31 02:54:00,cancelled
4795,191160,2156,2025-12-31 02:54:00,cancelled
3850,69824,2544,2025-12-31 02:54:00,confirmed
1085,1559232,1112,2025-12-31 02:54:00,cancelled
4633,52537443,3635,2025-12-31 02:54:00,cancelled
1058,4494878,2194,2025-12-31 02:54:00,cancelled
3051,2028061,1454,2025-12-31 02:54:00,pending
2745,24279533,3870,2025-12-31 02:54:00,confirmed
1555,2028061,1617,2025-12-31 02:54:00,cancelled
3381,52537443,3375,2025-12-31 02:54:00,pending
3481,1559232,3875,2025-12-31 02:54:00,cancelled
4862,1559232,3893,2025-12-31 02:54:00,cancelled
3845,191160,1787,2025-12-31 02:54:00,cancelled
1991,69824,3681,2025-12-31 02:54:00,confirmed
2313,191160,1591,2025-12-31 02:54:00,pending
2661,2028061,3732,2025-12-31 02:54:00,pending
2880,52537443,1164,2025-12-31 02:54:00,confirmed
2944,1559232,2205,2025-12-31 02:54:00,cancelled
2048,4494878,4839,2025-12-31 02:54:00,pending
4734,191160,3523,2025-12-31 02:54:00,cancelled
1643,69824,1957,2025-12-31 02:54:00,pending
2412,191160,4730,2025-12-31 02:54:00,confirmed
2843,52537443,2800,2025-12-31 02:54:00,confirmed
2554,4494878,1193,2025-12-31 02:54:00,cancelled
3032,1309185,1974,2025-12-31 02:54:00,confirmed
1901,191160,1551,2025-12-31 02:54:00,confirmed
2725,1559232,4175,2025-12-31 02:54:00,cancelled
4071,24279533,1707,2025-12-31 02:54:00,cancelled
4601,69824,2207,2025-12-31 02:54:00,cancelled
4382,52537443,2697,2025-12-31 02:54:00,confirmed
1475,2028061,4471,2025-12-31 02:54:00,cancelled
1065,1559232,3248,2025-12-31 02:54:00,cancelled
3044,4494878,3184,2025-12-31 02:54:00,confirmed
3098,1559232,3040,2025-12-31 02:54:00,cancelled
2928,52537443,2323,2025-12-31 02:54:00,confirmed
