booking_id,listing_id,user_id,booking_time,status
3616,191160,2293,2025-12-31 02:16:25,cancelled
1427,24279533,1432,2025-12-31 02:16:25,confirmed
4728,1309185,1979,2025-12-31 02:16:25,cancelled
1448,1309185,1926,2025-12-31 02:16:25,cancelled
1245,191160,4659,2025-12-31 02:16:25,confirmed
3284,2028061,4488,2025-12-31 02:16:25,cancelled
2766,4494878,1631,2025-12-31 02:16:25,pending
2774,4494878,2117,2025-12-31 02:16:25,pending
3681,191160,1461,2025-12-31 02:16:25,confirmed
3012,1309185,2297,2025-12-31 02:16:25,cancelled
1595,4494878,2155,2025-12-31 02:16:25,cancelled
4945,52537443,3918,2025-12-31 02:16:25,confirmed
3866,69824,1628,2025-12-31 02:16:25,pending
4017,1309185,2514,2025-12-31 02:16:25,cancelled
3087,52537443,4541,2025-12-31 02:16:25,pending
3336,1559232,3676,2025-12-31 02:16:25,confirmed
3954,1309185,1912,2025-12-31 02:16:25,cancelled
2588,52537443,4635,2025-12-31 02:16:25,confirmed
1198,69824,2229,2025-12-31 02:16:25,pending
1767,191160,3756,2025-12-31 02:16:25,confirmed
4214,2028061,3875,2025-12-31 02:16:25,pending
1388,4494878,3663,2025-12-31 02:16:25,cancelled
1588,4494878,2669,2025-12-31 02:16:25,pending
4675,4494878,3671,2025-12-31 02:16:25,cancelled
1362,69824,4524,2025-12-31 02:16:25,confirmed
4791,69824,3506,2025-12-31 02:16:25,confirmed
1082,24279533,3136,2025-12-31 02:16:25,pending
3536,69824,4700,2025-12-31 02:16:25,confirmed
4567,2028061,1981,2025-12-31 02:16:25,cancelled
2934,1309185,3071,2025-12-31 02:16:25,cancelled
1488,52537443,4281,2025-12-31 02:16:25,pending
4786,2028061,1077,2025-12-31 02:16:25,cancelled
1612,52537443,1729,2025-12-31 02:16:25,pending
4072,69824,1634,2025-12-31 02:16:25,confirmed
3315,4494878,4712,2025-12-31 02:16:25,cancelled
4843,52537443,1310,2025-12-31 02:16:25,pending
4011,1309185,1165,2025-12-31 02:16:25,confirmed
4571,1559232,1005,2025-12-31 02:16:25,pending
3740,69824,2015,2025-12-31 02:16:25,confirmed
2229,24279533,2986,2025-12-31 02:16:25,pending
2856,52537443,2734,2025-12-31 02:16:25,cancelled
2290,69824,3749,2025-12-31 02:16:25,pending
1797,191160,3247,2025-12-31 02:16:25,pending
1791,24279533,4360,2025-12-31 02:16:25,cancelled
2820,52537443,1170,2025-12-31 02:16:25,confirmed
4705,52537443,3582,2025-12-31 02:16:25,pending
3422,24279533,1383,2025-12-31 02:16:25,cancelled
2821,69824,2647,2025-12-31 02:16:25,confirmed
2159,2028061,4658,2025-12-31 02:16:25,confirmed
