booking_id,listing_id,user_id,booking_time,status
3257,52537443,2770,2025-12-31 02:59:46,pending
2880,52537443,2384,2025-12-31 02:59:46,cancelled
1000,1559232,4674,2025-12-31 02:59:46,pending
1842,1309185,3991,2025-12-31 02:59:46,cancelled
2517,4494878,3958,2025-12-31 02:59:46,confirmed
3778,52537443,4320,2025-12-31 02:59:46,cancelled
4601,1559232,1093,2025-12-31 02:59:46,cancelled
1355,24279533,1311,2025-12-31 02:59:46,confirmed
1021,191160,2976,2025-12-31 02:59:46,cancelled
3373,24279533,4743,2025-12-31 02:59:46,cancelled
4547,69824,4759,2025-12-31 02:59:46,pending
4493,1559232,3222,2025-12-31 02:59:46,cancelled
2138,2028061,2810,2025-12-31 02:59:46,cancelled
1770,1559232,3839,2025-12-31 02:59:46,pending
4539,2028061,1927,2025-12-31 02:59:46,pending
3209,24279533,1218,2025-12-31 02:59:46,cancelled
4295,2028061,2238,2025-12-31 02:59:46,pending
3700,1309185,1131,2025-12-31 02:59:46,pending
3926,4494878,1649,2025-12-31 02:59:46,cancelled
2360,2028061,2121,2025-12-31 02:59:46,cancelled
4307,1559232,1513,2025-12-31 02:59:46,confirmed
2967,1309185,3307,2025-12-31 02:59:46,pending
3832,24279533,2896,2025-12-31 02:59:46,cancelled
1568,2028061,3604,2025-12-31 02:59:46,pending
3249,2028061,3062,2025-12-31 02:59:46,pending
2936,69824,1723,2025-12-31 02:59:46,pending
3601,24279533,3601,2025-12-31 02:59:46,pending
4298,52537443,2516,2025-12-31 02:59:46,cancelled
4074,191160,2767,2025-12-31 02:59:46,pending
1191,4494878,1757,2025-12-31 02:59:46,cancelled
4799,191160,2471,2025-12-31 02:59:46,cancelled
2499,1309185,4231,2025-12-31 02:59:46,pending
4952,1309185,3762,2025-12-31 02:59:46,cancelled
4063,1559232,1695,2025-12-31 02:59:46,cancelled
1191,4494878,3317,2025-12-31 02:59:46,confirmed
3893,191160,2504,2025-12-31 02:59:46,confirmed
2048,24279533,1302,2025-12-31 02:59:46,confirmed
